Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13
2.65,2.99,3.81,2.51,2.09,2.51,1.0,6.05,1.31,2.71,0.0,3.5,3.38
2.63,2.99,3.88,2.5,2.09,2.5,1.01,6.01,1.3,2.7,0.0,3.46,3.38
2.63,2.96,3.88,2.51,2.11,2.53,1.01,5.93,1.11,2.69,0.0,3.46,3.41
2.63,2.96,3.86,2.55,2.13,2.51,1.0,6.05,1.11,2.7,0.0,3.5,3.38
2.64,2.97,3.94,2.53,2.11,2.47,1.01,5.93,1.33,2.71,0.0,3.46,3.4
2.66,2.97,3.88,2.51,2.11,2.53,1.02,5.97,1.31,2.71,0.0,3.47,3.42
2.66,2.99,3.84,2.5,2.08,2.51,1.0,5.89,1.19,2.69,0.0,3.46,3.42
2.67,2.99,3.9,2.51,2.1,2.54,1.01,5.97,1.33,2.72,0.0,3.51,3.42
2.65,3.01,3.9,2.49,2.09,2.53,1.01,5.97,1.33,2.7,0.0,3.47,3.41
2.66,2.96,3.92,2.51,2.11,2.53,1.0,5.97,1.33,2.67,0.0,3.5,3.38
2.66,2.99,3.92,2.5,2.13,2.54,1.0,5.97,1.33,2.69,0.0,3.5,3.4
2.65,2.95,3.92,2.51,2.11,2.5,1.05,5.97,1.31,2.67,0.0,3.46,3.41
2.67,2.99,3.92,2.5,2.09,2.53,1.06,5.97,1.29,2.66,0.0,3.46,3.41
2.66,2.97,3.9,2.51,2.1,2.51,1.08,6.01,1.27,2.66,0.0,3.45,3.41
2.67,2.97,3.9,2.53,2.09,2.47,1.08,5.97,1.26,2.66,0.0,3.47,3.41
2.67,2.96,3.9,2.51,2.08,2.46,1.05,5.97,1.27,2.64,0.0,3.45,3.45
2.64,2.96,3.9,2.5,2.06,2.45,1.06,5.97,1.29,2.59,0.0,3.47,3.4
2.74,2.99,3.96,2.5,2.13,2.45,1.06,5.97,1.29,2.63,0.0,3.51,3.45
2.7,3.03,3.96,2.51,2.11,2.5,1.08,6.01,1.3,2.63,0.0,3.46,3.45
2.74,3.01,3.96,2.56,2.11,2.5,1.06,6.1,1.25,2.66,0.0,3.5,3.45
2.74,3.03,4.01,2.49,2.13,2.51,1.06,5.93,1.21,2.67,0.0,3.46,3.47
2.72,3.05,3.92,2.53,2.08,2.45,1.08,5.34,1.21,2.66,0.0,3.45,3.45
2.74,3.1,4.03,2.5,2.15,2.46,1.09,6.1,1.24,2.66,0.0,3.54,3.54
2.75,3.1,4.03,2.5,2.13,2.45,1.08,6.1,1.25,2.66,0.0,3.51,3.47
2.78,3.11,4.05,2.46,2.15,2.45,1.09,6.14,1.25,2.63,0.0,3.55,3.46
2.76,3.08,4.03,2.53,2.15,2.47,1.09,6.14,1.25,2.67,0.0,3.58,3.5
2.76,3.06,4.05,2.51,2.15,2.46,1.09,6.14,1.26,2.65,0.0,3.58,3.5
2.78,3.08,4.03,2.47,2.1,2.45,1.09,6.05,1.26,2.66,0.0,3.51,3.46
2.74,3.05,4.05,2.49,2.1,2.49,1.1,6.05,1.26,2.66,0.0,3.54,3.45
2.74,3.06,4.03,2.47,2.13,2.45,1.09,6.05,1.26,2.67,0.0,3.55,3.46
2.69,3.1,4.01,2.49,2.11,2.46,1.09,6.1,1.26,2.65,0.0,3.51,3.47
2.69,3.1,4.01,2.46,2.11,2.45,1.08,6.01,1.25,2.63,0.0,3.54,3.45
2.74,3.05,3.99,2.47,2.11,2.47,1.1,6.05,1.25,2.66,0.0,3.47,3.46
2.74,3.06,4.01,2.5,2.13,2.46,1.09,6.05,1.25,2.63,0.0,3.5,3.42
2.74,3.04,4.03,2.5,2.13,2.46,1.09,6.1,1.26,2.66,0.0,3.47,3.46
2.78,3.06,4.01,2.5,2.15,2.45,1.09,6.01,1.25,2.66,0.0,3.46,3.45
2.78,3.05,4.03,2.5,2.11,2.45,1.09,6.1,1.24,2.63,0.0,3.47,3.42
2.74,3.05,4.01,2.5,2.1,2.42,1.08,6.01,1.23,2.63,0.0,3.46,3.46
